project_name	publication_year	data_publication_doi	sample_name	archive	archive_project	archive_sample_accession	library_name	strand_type	library_polymerase	library_treatment	library_concentration	instrument_model	library_layout	library_strategy	amplicon_variable_region	read_count	archive_data_accession	download_links	download_md5s	download_sizes
Shelton2016	2016	10.3389/fmicb.2016.01535	Olla 6 Oil Well	SRA	PRJNA310850	SRS1296668	O6		NA	NA	NA	Illumina MiSeq	SINGLE	AMPLICON	NA	79214	SRR3170223	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR3170223/SRR3170223	f0e8548ef7b0918021ad0cfb09245839	9682138
Shelton2016	2016	10.3389/fmicb.2016.01535	Cypress-Bayou 1 Oil Well	SRA	PRJNA310850	SRS1296674	CB1		NA	NA	NA	Illumina MiSeq	SINGLE	AMPLICON	NA	83199	SRR3170217	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR3170217/SRR3170217	4e6691c51c6fba6c06c52d35decc337a	8122807
