project_name	publication_year	publication_doi	site_name	latitude	longitude	geo_loc_name	study_primary_focus	depth	temp	pH	salinity	NO3-	PO43-	SO42-	Ca2+	Mg2+	sample_name	feature	material	sampling_date	archive	archive_project	archive_accession
Cristman 2020	2020	10.1038/s41598-020-64904-6	offshore Texas	29	94	USA	ecology	None	None	None	None	None	None	None	None	None	B9 Reservoir	oil reservoir	filtered produced water from oil	2016	SRA	PRJNA578106	SRS5536771
Wang2018	2018	10.1016/j.scitotenv.2018.10.410	Shen84, Liaoning	None	None	China	ecology/industy	None	None	None	None	None	None	None	None	None	16S6_samples_set	oil reservoir	water and oil	2017	SRA	PRJNA487841	SRS3714284
